Team,Team_Number,Pos,Draw,Goals_For,Goal_Difference,Pts
Arsenal,1,2,11,65,29,71
Aston Villa,2,20,8,27,-49,17
Bournemouth,3,16,9,45,-22,42
Brighton,4,0,0,0,0,0
Burnley,5,0,0,0,0,0
Cardiff,6,0,0,0,0,0
Chelsea,7,10,14,59,6,50
Crystal Palace,8,15,9,39,-12,42
Everton,9,11,14,59,4,47
Fulham,10,0,0,0,0,0
Huddersfield,11,0,0,0,0,0
Hull,12,0,0,0,0,0
Leicester,13,1,12,68,32,81
Liverpool,14,8,12,63,13,60
Man City,15,4,9,71,30,66
Man United,16,5,9,49,14,66
Middlesbrough,17,0,0,0,0,0
Newcastle,18,18,10,44,-21,37
Norwich,19,19,7,39,-28,34
Sheffield United,20,0,0,0,0,0
Southampton,21,6,9,59,18,63
Stoke,22,9,9,41,-14,51
Sunderland,23,17,12,48,-14,39
Swansea,24,12,11,42,-10,47
Tottenham,25,3,13,69,34,70
Watford,26,13,9,40,-10,45
West Brom,27,14,13,34,-14,43
West Ham,28,7,14,65,14,62
Wolves,29,0,0,0,0,0
