Team,Team_Number,Pos,Draw,Goals_For,Goal_Difference,Pts
Arsenal,1,3,9,71,35,75
Aston Villa,2,17,8,31,-26,38
Bournemouth,3,0,0,0,0,0
Brighton,4,0,0,0,0,0
Burnley,5,19,12,28,-25,33
Cardiff,6,0,0,0,0,0
Chelsea,7,1,9,73,41,87
Crystal Palace,8,10,9,47,-4,48
Everton,9,11,11,48,-2,47
Fulham,10,0,0,0,0,0
Huddersfield,11,0,0,0,0,0
Hull,12,18,11,33,-18,35
Leicester,13,14,8,46,-9,41
Liverpool,14,6,8,52,4,62
Man City,15,2,7,83,45,79
Man United,16,4,10,62,25,70
Middlesbrough,17,0,0,0,0,0
Newcastle,18,15,9,40,-23,39
Norwich,19,0,0,0,0,0
Sheffield United,20,0,0,0,0,0
Southampton,21,7,6,54,21,60
Stoke,22,9,9,48,3,54
Sunderland,23,16,17,31,-22,38
Swansea,24,8,8,46,-3,56
Tottenham,25,5,7,58,5,64
Watford,26,0,0,0,0,0
West Brom,27,13,11,38,-13,44
West Ham,28,12,11,44,-3,47
Wolves,29,0,0,0,0,0
