Team,Team_Number,Pos,Draw,Goals_For,Goal_Difference,Pts
Arsenal,1,6,6,74,23,63
Aston Villa,2,0,0,0,0,0
Bournemouth,3,12,11,45,-16,44
Brighton,4,15,13,34,-20,40
Burnley,5,7,12,36,-3,54
Cardiff,6,0,0,0,0,0
Chelsea,7,5,7,62,24,70
Crystal Palace,8,11,11,45,-10,44
Everton,9,8,10,44,-14,49
Fulham,10,0,0,0,0,0
Huddersfield,11,16,10,28,-30,37
Hull,12,0,0,0,0,0
Leicester,13,9,11,56,-4,47
Liverpool,14,4,12,84,46,75
Man City,15,1,4,106,79,100
Man United,16,2,6,68,40,81
Middlesbrough,17,0,0,0,0,0
Newcastle,18,10,8,39,-8,44
Norwich,19,0,0,0,0,0
Sheffield United,20,0,0,0,0,0
Southampton,21,17,15,37,-19,36
Stoke,22,19,12,35,-33,33
Sunderland,23,0,0,0,0,0
Swansea,24,18,9,28,-28,33
Tottenham,25,3,8,74,38,77
Watford,26,14,8,44,-20,41
West Brom,27,20,13,31,-25,31
West Ham,28,13,12,48,-20,42
Wolves,29,0,0,0,0,0
